12x1 tpl 0 0 par -14.5925
12x1 tpl 10 5 00000000000000000000 par -63.0414
12x1 tpl 11 5 50000000000000000000 par -68.7821
12x1 tpl 12 6 00000000000000000000 par -74.5625
12x1 tpl 13 6 50000000000000000000 par -80.3744
12x1 tpl 14 7 00000000000000000000 par -86.2114
12x1 tpl 1 50000000000000000000 par -17.8406
12x1 tpl 15 7 50000000000000000000 par -92.0691
12x1 tpl 16 8 00000000000000000000 par -97.9437
12x1 tpl 2 1 00000000000000000000 par -21.5938
12x1 tpl 3 1 50000000000000000000 par -25.8448
12x1 tpl 4 2 00000000000000000000 par -30.5262
12x1 tpl 5 2 50000000000000000000 par -35.5356
12x1 tpl 6 3 00000000000000000000 par -40.7809
12x1 tpl 7 3 50000000000000000000 par -46.1941
12x1 tpl 8 4 00000000000000000000 par -51.7284
12x1 tpl 9 4 50000000000000000000 par -57.3516
4x1 tpl 0 0 par -4.47214
4x1 tpl 10 5 00000000000000000000 par -20.9115
4x1 tpl 11 5 50000000000000000000 par -22.8338
4x1 tpl 12 6 00000000000000000000 par -24.7681
4x1 tpl 13 6 50000000000000000000 par -26.7117
4x1 tpl 14 7 00000000000000000000 par -28.6629
4x1 tpl 1 50000000000000000000 par -5.57537
4x1 tpl 15 7 50000000000000000000 par -30.6202
4x1 tpl 16 8 00000000000000000000 par -32.5826
4x1 tpl 2 1 00000000000000000000 par -6.87594
4x1 tpl 3 1 50000000000000000000 par -8.34743
4x1 tpl 4 2 00000000000000000000 par -9.95315
4x1 tpl 5 2 50000000000000000000 par -11.6574
4x1 tpl 6 3 00000000000000000000 par -13.4319
4x1 tpl 7 3 50000000000000000000 par -15.2565
4x1 tpl 8 4 00000000000000000000 par -17.1172
4x1 tpl 9 4 50000000000000000000 par -19.0044
8x1 tpl 0 0 par -9.51754
8x1 tpl 10 5 00000000000000000000 par -41.9748
8x1 tpl 11 5 50000000000000000000 par -45.8065
8x1 tpl 12 6 00000000000000000000 par -49.664
8x1 tpl 13 6 50000000000000000000 par -53.5418
8x1 tpl 14 7 00000000000000000000 par -57.436
8x1 tpl 1 50000000000000000000 par -11.6948
8x1 tpl 15 7 50000000000000000000 par -61.3436
8x1 tpl 16 8 00000000000000000000 par -65.2621
8x1 tpl 2 1 00000000000000000000 par -14.2256
8x1 tpl 3 1 50000000000000000000 par -17.0904
8x1 tpl 4 2 00000000000000000000 par -20.2358
8x1 tpl 5 2 50000000000000000000 par -23.5935
8x1 tpl 6 3 00000000000000000000 par -27.1039
8x1 tpl 7 3 50000000000000000000 par -30.7231
8x1 tpl 8 4 00000000000000000000 par -34.4208
8x1 tpl 9 4 50000000000000000000 par -38.1762
